iter	Passed	Remaining
458	804	948
459	805	945
460	806	942
461	807	940
462	808	937
463	809	935
464	811	933
465	812	930
466	813	928
467	814	926
468	815	923
469	817	921
470	818	918
471	819	916
472	820	913
473	821	911
474	822	908
475	823	906
476	824	904
477	825	901
478	826	899
479	828	897
480	829	894
481	830	892
482	831	890
483	832	887
484	833	885
485	835	883
486	836	880
487	837	878
488	838	875
489	839	873
490	840	871
491	841	869
492	842	866
493	843	864
494	845	862
495	846	859
496	847	857
497	848	855
498	849	852
499	850	850
500	851	848
501	852	845
502	854	844
503	856	842
504	857	840
505	858	838
506	859	836
507	861	834
508	862	831
509	863	829
510	864	827
511	865	825
512	867	823
513	868	821
514	870	819
515	871	817
516	872	815
517	873	813
518	875	811
519	876	808
520	877	806
521	878	804
522	880	802
523	881	800
524	882	798
525	883	796
526	884	794
527	885	791
528	887	789
529	888	787
530	889	785
531	890	783
532	891	781
533	892	779
534	893	776
535	895	774
536	896	772
537	897	770
538	898	768
539	899	766
540	901	764
541	902	762
542	903	760
543	904	758
544	905	756
545	906	753
546	907	751
547	908	749
548	909	747
549	911	745
550	912	743
551	913	741
552	914	739
553	916	737
554	917	735
555	918	733
556	919	731
557	920	729
558	921	727
559	922	725
560	923	723
561	925	720
562	926	718
563	927	716
564	928	714
565	929	712
566	930	710
567	931	708
568	933	706
569	934	704
570	935	703
571	937	701
572	938	699
573	939	697
574	940	695
575	941	693
576	942	691
577	943	689
578	944	687
579	946	685
580	947	683
581	948	681
582	949	679
583	950	677
584	952	675
585	953	673
586	954	671
587	955	669
588	956	667
589	957	665
590	958	663
591	960	661
592	961	659
593	962	657
594	963	655
595	964	654
596	966	652
597	967	650
598	968	648
599	969	646
600	970	644
601	972	642
602	973	640
603	974	638
604	975	636
605	976	635
606	977	633
607	979	631
608	980	629
609	981	627
610	982	625
611	983	623
612	984	621
613	985	619
614	987	617
615	988	615
616	989	614
617	990	612
618	991	610
619	992	608
620	993	606
621	995	604
622	996	602
623	997	601
624	998	599
625	999	597
626	1001	595
627	1002	593
